"No.","average","variance","class"
696,135,3913.25,label
697,121,2969.5,label
698,148,3822.4,label
699,135,3913.25,label
700,135,3913.25,label
701,136,3645.1,label
702,138,3659.3333333333335,label
703,94,1333.72,label
704,207,89525.0,label
705,129,3840.2727272727275,label
706,116,4522.2,label
707,93,1216.1489361702127,label
708,115,3256.1875,label
709,124,4338.0,label
710,141,3785.5555555555557,label
711,124,4338.0,label
712,116,4522.2,label
713,90,758.6341463414634,label
714,106,2265.4,label
715,148,3822.4,label
716,135,3913.25,label
717,126,3458.2,label
718,146,3628.0,label
719,126,3458.2,label
720,135,3913.25,label
721,128,3339.5,label
722,94,1151.212765957447,label
723,122,3658.5,label
724,193,87821.03846153847,label
725,158,8207.166666666666,label
726,127,3389.8,label
727,137,35678.931506849316,label
728,116,3854.4545454545455,label
729,133,3606.181818181818,label
730,127,4049.090909090909,label
731,121,4013.2,label
732,93,1261.111111111111,label
733,128,3653.75,label
734,129,9651.972222222223,label
735,126,3412.7,label
736,130,3680.6666666666665,label
737,114,2926.285714285714,label
738,94,1412.26,label
739,137,3465.0,label
740,188,79509.0,label
741,121,4013.2,label
742,112,3677.0,label
743,93,1261.111111111111,label
744,127,3964.8571428571427,label
745,138,3480.0,label
746,120,3878.5,label
747,125,3767.1428571428573,label
748,120,3549.7272727272725,label
749,93,1261.111111111111,label
750,127,3964.8571428571427,label
751,123,4568.363636363636,label
752,112,3866.5,label
753,118,3730.0,label
754,111,3473.6923076923076,label
755,93,1207.8297872340424,label
756,124,3765.2,label
757,126,3458.2,label
758,195,81287.89285714286,label
759,139,3382.375,label
760,126,3424.7,label
761,92,1240.0,label
762,116,4522.2,label
763,135,3913.25,label
764,116,4522.2,label
765,116,4522.2,label
766,126,3458.2,label
767,126,3458.2,label
768,138,3659.3333333333335,label
769,135,3913.25,label
770,91,944.3333333333334,label
771,126,3458.2,label
772,114,3060.1428571428573,label
773,126,3458.2,label
774,135,3913.25,label
775,126,3458.2,label
776,119,3294.5555555555557,label
777,112,3866.5,label
778,115,2738.285714285714,label
779,146,3628.0,label
780,87,519.125,label
781,121,3436.375,label
782,135,3913.25,label
783,135,3913.25,label
784,135,3913.25,label
785,206,110012.6,label
786,129,9251.818181818182,label
787,126,3458.2,label
788,137,3465.0,label
789,126,3458.2,label
790,90,777.6,label
791,108,2794.5,label
792,116,3770.0,label
793,135,3913.25,label
794,148,3822.4,label
795,113,3833.0,label
796,135,3913.25,label
797,146,3628.0,label
798,109,3374.285714285714,label
799,121,3017.0,label
800,94,1201.6666666666667,label
801,130,3960.7272727272725,label
802,120,3524.7272727272725,label
803,141,3785.5555555555557,label
804,123,3224.3636363636365,label
805,93,1184.7446808510638,label
806,125,3158.181818181818,label
807,116,4265.125,label
808,196,84299.70370370371,label
809,121,4013.2,label
810,133,3245.3333333333335,label
811,91,999.5434782608696,label
812,126,3458.2,label
813,121,3017.0,label
814,146,3628.0,label
815,116,4522.2,label
816,116,4522.2,label
817,116,4522.2,label
818,116,4522.2,label
819,112,3866.5,label
820,94,1396.9,label
821,112,3226.529411764706,label
822,130,3639.0,label
823,116,4522.2,label
824,135,3913.25,label
825,94,1151.212765957447,label
826,127,3964.8571428571427,label
827,137,3465.0,label
828,145,3080.5,label
829,136,36485.22535211268,label
830,206,97709.47826086957,label
831,126,3458.2,label
832,116,4522.2,label
833,111,3135.8571428571427,label
834,130,9616.948717948719,label
835,126,2871.6428571428573,label
836,94,1151.063829787234,label
837,113,3323.076923076923,label
838,134,4043.1,label
839,130,3680.6666666666665,label
840,119,3688.0,label
841,116,4522.2,label
842,126,3458.2,label
843,89,754.4651162790698,label
844,116,4522.2,label
845,135,3913.25,label
846,130,4758.0,label
847,135,3913.25,label
848,102,3903.4285714285716,label
849,129,4537.0,label
850,119,2632.4285714285716,label
851,111,3135.8571428571427,label
852,135,3913.25,label
853,133,41044.36666666667,label
854,135,3913.25,label
855,148,3822.4,label
856,127,3389.8,label
857,135,3913.25,label
858,141,3785.5555555555557,label
859,122,3252.909090909091,label
860,93,1261.111111111111,label
861,124,3561.5384615384614,label
862,122,4102.0,label
863,124,4338.0,label
864,123,3760.875,label
865,117,3152.4444444444443,label
866,95,1367.8367346938776,label
867,136,3601.6,label
868,130,3639.0,label
869,135,3913.25,label
870,127,3389.8,label
871,135,3913.25,label
872,131,3426.714285714286,label
873,129,41617.50847457627,label
874,148,3822.4,label
875,130,3240.5714285714284,label
876,127,3389.8,label
877,135,3913.25,label
878,123,3805.1,label
879,132,3527.8888888888887,label
880,96,1359.9166666666667,label
881,125,3767.1428571428573,label
882,131,3426.714285714286,label
883,125,3767.1428571428573,label
884,135,3913.25,label
885,127,3389.8,label
886,148,3822.4,label
887,100,3443.875,label
888,92,987.1162790697674,label
889,126,3458.2,label
890,115,3569.0,label
891,126,3458.2,label
892,135,3913.25,label
893,127,3389.8,label
894,115,3569.0,label
895,128,4116.142857142857,label
896,135,3913.25,label
897,137,3390.8333333333335,label
898,132,42894.70175438596,label
899,111,3204.1,label
900,135,3913.25,label
901,135,3913.25,label
902,126,3458.2,label
903,126,3458.2,label
904,146,3471.5714285714284,label
905,127,3964.8571428571427,label
906,129,4537.0,label
907,89,737.3409090909091,label
908,130,3680.6666666666665,label
909,116,4522.2,label
910,111,3135.8571428571427,label
911,148,3822.4,label
912,135,3913.25,label
913,140,3178.8333333333335,label
914,135,3913.25,label
915,135,3913.25,label
916,89,772.4047619047619,label
917,102,3917.0,label
918,120,3063.8333333333335,label
919,135,3913.25,label
920,122,3621.625,label
921,124,4338.0,label
922,136,3601.6,label
923,134,40297.39344262295,label
924,107,3335.0,label
925,122,3252.909090909091,label
926,121,3436.375,label
927,126,4130.444444444444,label
928,122,3467.6363636363635,label
929,94,1228.6136363636363,label
930,115,3569.0,label
931,133,3606.181818181818,label
932,136,3645.1,label
933,118,3302.0,label
934,135,3913.25,label
935,95,1424.9787234042553,label
936,115,2906.5,label
937,122,3621.625,label
938,137,3390.8333333333335,label
939,135,36058.333333333336,label
940,122,3467.6363636363635,label
941,116,4522.2,label
942,228,108909.25,label
943,139,3581.5,label
944,137,3465.0,label
945,130,3680.6666666666665,label
946,93,1233.891304347826,label
947,113,3338.846153846154,label
948,135,3913.25,label
949,142,3905.6666666666665,label
950,133,3245.3333333333335,label
951,128,9157.435897435897,label
952,91,906.1224489795918,label
953,130,3680.6666666666665,label
954,127,3964.8571428571427,label
955,123,3805.1,label
956,129,3722.909090909091,label
957,120,3063.8333333333335,label
958,93,1210.304347826087,label
959,160,2514.0,label
960,127,3964.8571428571427,label
961,194,95462.875,label
962,116,4522.2,label
963,125,3767.1428571428573,label
964,116,4522.2,label
965,135,3913.25,label
966,143,2821.5,label
967,93,1152.16,label
968,133,3569.3636363636365,label
969,146,3471.5714285714284,label
970,126,3610.0833333333335,label
971,135,3913.25,label
972,93,1136.7551020408164,label
973,137,3763.5,label
974,131,4297.1,label
975,124,4338.0,label
976,135,3913.25,label
977,92,989.6444444444444,label
978,130,3210.4,label
979,126,3458.2,label
980,123,4574.666666666667,label
981,202,94173.625,label
982,116,4522.2,label
983,126,3458.2,label
984,116,4522.2,label
985,124,4281.142857142857,label
986,93,1136.7551020408164,label
987,132,3490.818181818182,label
988,126,3458.2,label
989,130,3680.6666666666665,label
990,126,3754.6666666666665,label
991,92,953.1333333333333,label
992,130,3680.6666666666665,label
993,117,3323.4166666666665,label
994,135,3913.25,label
995,133,3569.3636363636365,label
996,94,1228.6136363636363,label
997,125,3767.1428571428573,label
998,108,2794.5,label
999,135,3913.25,label
1000,194,95471.5,label
1001,126,3458.2,label
1002,148,3822.4,label
1003,135,3913.25,label
1004,135,3913.25,label
1005,137,3465.0,label
1006,94,1167.125,label
1007,139,3382.375,label
1008,130,3680.6666666666665,label
1009,113,3351.6,label
1010,131,4297.1,label
1011,93,1233.891304347826,label
1012,112,3108.1428571428573,label
1013,138,3659.3333333333335,label
1014,121,3436.375,label
1015,146,3471.5714285714284,label
1016,126,3424.7,label
1017,135,3913.25,label
1018,94,1191.936170212766,label
1019,138,3659.3333333333335,label
1020,198,84168.74074074074,label
1021,123,4075.285714285714,label
1022,130,3680.6666666666665,label
1023,130,3639.0,label
1024,90,758.6341463414634,label
1025,115,3569.0,label
1026,126,3458.2,label
1027,138,3659.3333333333335,label
1028,109,2773.375,label
1029,160,2514.0,label
1030,121,3436.375,label
1031,135,3913.25,label
1032,135,3913.25,label
1033,141,4207.714285714285,label
1034,95,1379.58,label
1035,121,4013.2,label
1036,127,4049.090909090909,label
1037,134,34037.181818181816,label
1038,135,3913.25,label
1039,134,10706.636363636364,label
1040,109,2451.3333333333335,label
1041,142,15935.466666666667,label
1042,214,113276.0,label
1043,130,3680.6666666666665,label
1044,89,737.3409090909091,label
1045,131,3491.8888888888887,label
1046,128,3339.5,label
1047,127,3964.8571428571427,label
1048,126,3458.2,label
1049,127,4049.090909090909,label
1050,92,1616.709090909091,label
1051,124,4699.545454545455,label
1052,124,4338.0,label
1053,139,3324.25,label
1054,95,1300.58,label
1055,111,3135.8571428571427,label
1056,135,3470.090909090909,label
1057,135,3913.25,label
1058,135,3913.25,label
1059,146,3628.0,label
1060,214,105871.85714285714,label
1061,115,3569.0,label
1062,120,3063.8333333333335,label
1063,89,772.4047619047619,label
1064,127,3389.8,label
1065,126,3458.2,label
1066,148,3822.4,label
1067,135,3913.25,label
1068,146,3628.0,label
1069,115,3569.0,label
1070,135,3913.25,label
1071,135,3913.25,label
1072,121,3017.0,label
1073,89,754.4651162790698,label
1074,127,3389.8,label
1075,138,3659.3333333333335,label
1076,124,2906.0,label
1077,135,3913.25,label
1078,137,3465.0,label
1079,135,3913.25,label
1080,126,3458.2,label
1081,135,3913.25,label
1082,126,3458.2,label
1083,89,754.4651162790698,label
1084,148,3822.4,label
1085,126,3458.2,label
1086,120,4272.916666666667,label
1087,219,105320.38095238095,label
1088,115,4064.875,label
1089,93,1261.111111111111,label
1090,126,3458.2,label
1091,118,3421.25,label
1092,115,2738.285714285714,label
1093,126,3458.2,label
1094,118,3730.0,label
1095,93,1182.75,label
1096,119,3324.0,label
1097,119,3688.0,label
1098,130,3680.6666666666665,label
1099,116,4522.2,label
1100,116,4522.2,label
1101,127,3389.8,label
1102,148,3822.4,label
1103,116,4522.2,label
1104,90,777.6,label
1105,112,3677.0,label
1106,116,4522.2,label
1107,118,3421.25,label
1108,138,3659.3333333333335,label
1109,203,86643.15384615384,label
1110,118,3302.0,label
1111,92,964.7727272727273,label
1112,130,3680.6666666666665,label
1113,120,3063.8333333333335,label
1114,120,3063.8333333333335,label
1115,135,3913.25,label
1116,131,3426.714285714286,label
1117,126,3458.2,label
1118,135,3913.25,label
1119,137,3465.0,label
1120,87,532.2051282051282,label
1121,121,3436.375,label
1122,126,3458.2,label
1123,131,2959.2,label
1124,127,3964.8571428571427,label
1125,130,3240.5714285714284,label
1126,123,3805.1,label
1127,94,1228.6136363636363,label
1128,120,3524.7272727272725,label
1129,126,3458.2,label
1130,126,4014.285714285714,label
1131,112,3866.5,label
1132,115,3569.0,label
1133,203,93827.58333333333,label
1134,126,3458.2,label
1135,126,3458.2,label
1136,89,754.4651162790698,label
1137,135,3913.25,label
1138,136,33846.506493506495,label
1139,125,3013.0,label
1140,130,3680.6666666666665,label
1141,131,3426.714285714286,label
1142,112,3165.1,label
1143,135,3913.25,label
1144,95,1424.9787234042553,label
1145,137,3465.0,label
1146,120,3063.8333333333335,label
1147,135,3913.25,label
1148,135,3913.25,label
1149,108,2794.5,label
1150,135,3913.25,label
1151,134,11114.566666666668,label
1152,133,3269.8571428571427,label
1153,90,777.6,label
1154,118,2779.2,label
1155,116,4522.2,label
1156,112,3866.5,label
1157,112,3866.5,label
1158,214,105871.85714285714,label
1159,97,3570.625,label
1160,126,3458.2,label
1161,127,3964.8571428571427,label
1162,116,4522.2,label
1163,94,1411.9375,label
1164,130,3680.6666666666665,label
1165,133,3245.3333333333335,label
1166,126,3458.2,label
1167,111,3073.818181818182,label
1168,94,1175.891304347826,label
1169,121,3030.0,label
1170,126,3458.2,label
1171,135,3913.25,label
1172,120,3063.8333333333335,label
1173,116,4522.2,label
1174,127,3964.8571428571427,label
1175,107,3856.6666666666665,label
1176,122,3621.625,label
1177,124,4030.4285714285716,label
1178,87,532.2051282051282,label
1179,119,3484.285714285714,label
1180,121,4013.2,label
1181,220,99899.54545454546,label
1182,129,3447.0833333333335,label
1183,112,3677.0,label
1184,92,1198.469387755102,label
1185,111,3135.8571428571427,label
1186,112,3866.5,label
1187,148,3822.4,label
1188,106,2992.375,label
1189,112,3108.1428571428573,label
1190,123,4075.285714285714,label
1191,126,3458.2,label
1192,112,3866.5,label
1193,90,777.6,label
1194,115,3569.0,label
1195,135,3913.25,label
1196,148,3822.4,label
1197,115,3569.0,label
1198,126,3458.2,label
1199,137,3465.0,label
1200,135,3913.25,label
1201,135,3913.25,label
1202,135,3913.25,label
1203,90,758.6341463414634,label
1204,112,2719.75,label
1205,142,3905.6666666666665,label
1206,208,93237.79166666667,label
1207,114,4496.5,label
1208,112,3677.0,label
1209,114,4169.272727272727,label
1210,92,989.6444444444444,label
1211,126,3458.2,label
1212,133,3245.3333333333335,label
1213,126,3458.2,label
1214,115,2884.0,label
1215,122,3252.909090909091,label
1216,94,1183.391304347826,label
1217,127,3964.8571428571427,label
1218,146,3628.0,label
1219,116,4522.2,label
1220,135,3913.25,label
1221,109,3374.285714285714,label
1222,127,3389.8,label
1223,131,4525.5,label
1224,115,3569.0,label
1225,89,814.3658536585366,label
1226,123,3833.2,label
1227,130,3680.6666666666665,label
1228,193,84570.77777777778,label
1229,130,3680.6666666666665,label
1230,96,1417.4782608695652,label
1231,125,3370.153846153846,label
1232,135,3913.25,label
1233,135,3913.25,label
1234,133,3606.181818181818,label
1235,94,1201.6666666666667,label
1236,130,3680.6666666666665,label
1237,125,3767.1428571428573,label
1238,115,3569.0,label
1239,135,3913.25,label
1240,126,3458.2,label
1241,148,3822.4,label
1242,110,3162.714285714286,label
1243,160,2514.0,label
1244,89,772.4047619047619,label
1245,134,3358.5454545454545,label
1246,115,3569.0,label
1247,214,101067.18181818182,label
1248,175,7306.333333333333,label
1249,116,4265.125,label
1250,132,3490.818181818182,label
1251,93,1184.7446808510638,label
1252,134,29067.336633663366,label
1253,118,2595.1428571428573,label
1254,122,3386.75,label
1255,130,3960.7272727272725,label
1256,139,3382.375,label
1257,126,3458.2,label
1258,117,3281.222222222222,label
1259,89,772.4047619047619,label
1260,135,3913.25,label
1261,111,3135.8571428571427,label
1262,148,3822.4,label
1263,135,3913.25,label
1264,146,3628.0,label
1265,115,3569.0,label
1266,126,3458.2,label
1267,126,3458.2,label
1268,94,1201.6666666666667,label
1269,126,3424.7,label
1270,196,84592.03703703704,label
1271,129,3840.2727272727275,label
1272,118,3730.0,label
1273,94,1183.391304347826,label
1274,127,3964.8571428571427,label
1275,130,3680.6666666666665,label
1276,141,3785.5555555555557,label
1277,135,3913.25,label
1278,126,3754.6666666666665,label
1279,93,1160.1458333333333,label
1280,137,3465.0,label
1281,135,3913.25,label
1282,135,3913.25,label
1283,135,3913.25,label
1284,94,1158.5531914893618,label
1285,116,3043.8,label
1286,193,84926.66666666667,label
1287,126,3458.2,label
1288,135,3913.25,label
1289,135,3913.25,label
1290,130,3680.6666666666665,label
1291,96,1554.46,label
1292,120,3549.7272727272725,label
1293,126,3424.7,label
1294,137,3719.0,label
1295,129,3303.0,label
1296,92,964.7727272727273,label
1297,135,3913.25,label
1298,126,3458.2,label
1299,126,3458.2,label
1300,115,3569.0,label
1301,126,3458.2,label
1302,142,3905.6666666666665,label
1303,135,3913.25,label
1304,95,1210.0227272727273,label
1305,112,4102.857142857143,label
1306,191,85022.03703703704,label
1307,124,3537.3076923076924,label
1308,118,4010.3846153846152,label
1309,92,1219.9183673469388,label
1310,115,3569.0,label
1311,139,3382.375,label
1312,113,3351.6,label
1313,130,3240.5714285714284,label
1314,130,3680.6666666666665,label
1315,131,3426.714285714286,label
1316,92,964.7727272727273,label
1317,120,3063.8333333333335,label
1318,115,3569.0,label
1319,132,3369.8571428571427,label
1320,135,3913.25,label
1321,116,4522.2,label
1322,146,3628.0,label
1323,135,3913.25,label
1324,135,3913.25,label
1325,93,1191.0,label
1326,112,3458.153846153846,label
1327,190,82303.14285714286,label
1328,128,4016.3636363636365,label
1329,116,4522.2,label
1330,91,1240.4285714285713,label
1331,120,4042.5,label
1332,122,3621.625,label
1333,139,3382.375,label
1334,134,34868.306666666664,label
1335,126,3458.2,label
1336,135,10179.529411764706,label
1337,127,2351.6666666666665,label
1338,107,2497.3333333333335,label
1339,122,3973.5,label
1340,116,4522.2,label
1341,90,777.6,label
1342,115,3569.0,label
1343,135,3913.25,label
1344,121,4590.142857142857,label
1345,137,3465.0,label
1346,135,3913.25,label
1347,134,19695.75,label
1348,218,100301.95454545454,label
1349,92,1012.0454545454545,label
1350,135,3913.25,label
1351,132,3527.8888888888887,label
1352,137,3465.0,label
1353,131,3426.714285714286,label
1354,137,3465.0,label
1355,111,3135.8571428571427,label
1356,95,1395.8125,label
1357,130,3680.6666666666665,label
1358,136,3601.6,label
1359,117,3323.4166666666665,label
1360,130,3680.6666666666665,label
1361,96,1448.1777777777777,label
1362,126,3424.7,label
1363,142,3157.75,label
1364,125,3767.1428571428573,label
1365,126,3458.2,label
1366,131,18761.882352941175,label
1367,245,136194.5,label
1368,102,3917.0,label
1369,90,777.6,label
1370,122,3621.625,label
1371,146,3628.0,label
1372,109,3374.285714285714,label
1373,135,3913.25,label
1374,126,3458.2,label
1375,111,3135.8571428571427,label
1376,126,3458.2,label
1377,126,3458.2,label
