"No.","data_variance","data_average","class"
0,54.0,0.0,label
1,74.5,420.25,label
2,78.6,403.44000000000005,label
3,128.11111111111111,8794.320987654319,label
4,74.5,420.25,label
5,74.5,420.25,label
6,81.33333333333333,373.5555555555556,label
7,74.5,420.25,label
8,81.33333333333333,373.5555555555556,label
9,64.25,315.1875,label
10,74.5,420.25,label
11,83.28571428571429,343.06122448979596,label
12,64.25,315.1875,label
13,81.33333333333333,373.5555555555556,label
14,64.25,315.1875,label
15,74.5,420.25,label
16,74.5,420.25,label
17,78.6,403.44000000000005,label
18,83.28571428571429,343.06122448979596,label
19,64.25,315.1875,label
20,74.5,420.25,label
21,81.33333333333333,373.5555555555556,label
22,64.25,315.1875,label
23,81.33333333333333,373.5555555555556,label
24,64.25,315.1875,label
25,74.5,420.25,label
26,74.5,420.25,label
27,74.5,420.25,label
28,81.33333333333333,373.5555555555556,label
29,64.25,315.1875,label
30,74.5,420.25,label
31,74.5,420.25,label
32,83.28571428571429,343.06122448979596,label
33,64.25,315.1875,label
34,74.5,420.25,label
35,74.5,420.25,label
36,74.5,420.25,label
37,83.28571428571429,343.06122448979596,label
38,70.4,403.44000000000005,label
39,74.5,420.25,label
40,74.5,420.25,label
41,81.33333333333333,373.5555555555556,label
42,64.25,315.1875,label
43,74.5,420.25,label
44,74.5,420.25,label
45,78.6,403.44000000000005,label
46,78.6,403.44000000000005,label
47,74.5,420.25,label
48,74.5,420.25,label
49,74.5,420.25,label
50,78.6,403.44,label
51,102.0,3074.0,label
52,74.5,420.25,label
53,74.5,420.25,label
54,74.5,420.25,label
55,78.6,403.44000000000005,label
56,78.6,403.44000000000005,label
57,74.5,420.25,label
58,78.6,403.44000000000005,label
59,78.6,403.44000000000005,label
60,74.5,420.25,label
61,78.6,403.44000000000005,label
62,74.5,420.25,label
63,70.4,403.44000000000005,label
64,74.5,420.25,label
65,74.5,420.25,label
66,81.33333333333333,373.5555555555556,label
67,64.25,315.1875,label
68,74.5,420.25,label
69,74.5,420.25,label
70,72.83333333333333,365.8055555555556,label
71,246.45454545454547,98478.70247933884,label
72,124.6,7979.4400000000005,label
73,74.5,420.25,label
74,74.5,420.25,label
75,74.5,420.25,label
76,74.5,420.25,label
77,74.5,420.25,label
78,74.5,420.25,label
79,81.33333333333333,373.5555555555556,label
80,64.25,315.1875,label
81,74.5,420.25,label
82,81.33333333333333,373.5555555555556,label
83,64.25,315.1875,label
84,74.5,420.25,label
85,74.5,420.25,label
86,78.6,403.44000000000005,label
87,74.5,420.25,label
88,74.5,420.25,label
89,78.6,403.44000000000005,label
90,74.5,420.25,label
91,74.5,420.25,label
92,74.5,420.25,label
93,74.5,420.25,label
94,74.5,420.25,label
95,74.5,420.25,label
96,78.6,403.44000000000005,label
97,74.5,420.25,label
98,78.6,403.44000000000005,label
99,74.5,420.25,label
100,74.5,420.25,label
101,74.5,420.25,label
102,74.5,420.25,label
103,74.5,420.25,label
104,74.5,420.25,label
105,74.5,420.25,label
106,74.5,420.25,label
107,81.33333333333333,373.5555555555556,label
108,64.25,315.1875,label
109,74.5,420.25,label
110,81.33333333333333,373.5555555555556,label
111,64.25,315.1875,label
112,74.5,420.25,label
113,81.33333333333333,373.5555555555556,label
114,64.25,315.1875,label
115,74.5,420.25,label
116,74.5,420.25,label
117,81.33333333333333,373.5555555555556,label
118,64.25,315.1875,label
119,81.33333333333333,373.5555555555556,label
120,64.25,315.1875,label
121,74.5,420.25,label
122,74.5,420.25,label
123,74.5,420.25,label
124,74.5,420.25,label
125,81.33333333333333,373.5555555555556,label
126,64.25,315.1875,label
127,74.5,420.25,label
128,81.33333333333333,373.5555555555556,label
129,64.25,315.1875,label
130,102.5,3192.25,label
131,78.6,403.44000000000005,label
132,70.4,403.44000000000005,label
133,78.6,403.44000000000005,label
134,74.5,420.25,label
135,74.5,420.25,label
136,74.5,420.25,label
137,74.5,420.25,label
138,74.5,420.25,label
139,74.5,420.25,label
140,81.33333333333333,373.5555555555556,label
141,64.25,315.1875,label
142,74.5,420.25,label
143,72.83333333333333,365.8055555555556,label
144,228.44,89272.96639999999,label
145,74.5,420.25,label
146,103.28571428571429,4422.489795918367,label
147,121.16666666666667,9395.805555555553,label
148,74.5,420.25,label
149,74.5,420.25,label
150,74.5,420.25,label
151,74.5,420.25,label
152,74.5,420.25,label
153,74.5,420.25,label
154,74.5,420.25,label
155,74.5,420.25,label
156,74.5,420.25,label
157,74.5,420.25,label
158,74.5,420.25,label
159,74.5,420.25,label
160,74.5,420.25,label
161,78.6,403.44000000000005,label
162,74.5,420.25,label
163,74.5,420.25,label
164,78.6,403.44000000000005,label
165,74.5,420.25,label
166,74.5,420.25,label
167,70.4,403.44,label
168,116.0,3885.5,label
169,74.5,420.25,label
170,74.5,420.25,label
171,74.5,420.25,label
172,74.5,420.25,label
173,74.5,420.25,label
174,74.5,420.25,label
175,74.5,420.25,label
176,74.5,420.25,label
177,74.5,420.25,label
178,74.5,420.25,label
179,74.5,420.25,label
180,74.5,420.25,label
181,74.5,420.25,label
182,74.5,420.25,label
183,74.5,420.25,label
184,74.5,420.25,label
185,74.5,420.25,label
186,74.5,420.25,label
187,74.5,420.25,label
188,74.5,420.25,label
189,74.5,420.25,label
190,74.5,420.25,label
191,74.5,420.25,label
192,74.5,420.25,label
193,74.5,420.25,label
194,74.5,420.25,label
195,74.5,420.25,label
196,74.5,420.25,label
197,74.5,420.25,label
198,78.6,403.44000000000005,label
199,78.6,403.44000000000005,label
200,78.6,403.44000000000005,label
201,74.5,420.25,label
202,78.6,403.44000000000005,label
203,78.6,403.44000000000005,label
204,78.6,403.44000000000005,label
205,74.5,420.25,label
206,67.66666666666667,373.5555555555556,label
207,74.5,420.25,label
208,74.5,420.25,label
209,78.6,403.44000000000005,label
210,74.5,420.25,label
211,74.5,420.25,label
212,78.6,403.44000000000005,label
213,125.71428571428571,17475.346938775507,label
214,97.0,0.0,label
215,97.0,0.0,label
216,97.0,0.0,label
217,118.82352941176471,14650.73356401384,label
218,97.0,0.0,label
219,97.0,0.0,label
220,115.88888888888889,13983.20987654321,label
221,97.0,0.0,label
222,97.0,0.0,label
223,118.82352941176471,14650.73356401384,label
224,97.0,0.0,label
225,97.0,0.0,label
226,115.88888888888889,13983.209876543207,label
227,97.0,0.0,label
228,97.0,0.0,label
229,117.61111111111111,13861.793209876547,label
230,97.0,0.0,label
231,97.0,0.0,label
232,121.73333333333333,16532.195555555554,label
233,97.0,0.0,label
234,97.0,0.0,label
235,97.0,0.0,label
236,115.88888888888889,13983.209876543207,label
237,97.0,0.0,label
238,97.0,0.0,label
239,120.1875,15534.77734375,label
240,97.0,0.0,label
241,97.0,0.0,label
242,97.0,0.0,label
243,114.89473684210526,13265.041551246535,label
244,97.0,0.0,label
245,97.0,0.0,label
246,115.88888888888889,13983.20987654321,label
247,97.0,0.0,label
248,97.0,0.0,label
249,118.82352941176471,14650.73356401384,label
250,97.0,0.0,label
251,97.0,0.0,label
252,118.25,15680.9375,label
253,97.0,0.0,label
254,97.0,0.0,label
255,97.0,0.0,label
256,115.88888888888889,13983.20987654321,label
257,97.0,0.0,label
258,97.0,0.0,label
259,120.1875,15534.77734375,label
260,97.0,0.0,label
261,97.0,0.0,label
262,97.0,0.0,label
263,115.88888888888889,13983.209876543207,label
264,97.0,0.0,label
265,97.0,0.0,label
266,114.89473684210526,13265.041551246535,label
267,97.0,0.0,label
268,97.0,0.0,label
269,114.89473684210526,13265.041551246535,label
270,97.0,0.0,label
271,97.0,0.0,label
272,117.61111111111111,13861.793209876547,label
273,97.0,0.0,label
274,97.0,0.0,label
275,117.0,14783.529411764706,label
276,97.0,0.0,label
277,97.0,0.0,label
278,67.6,10.240000000000002,label
279,68.0,12.0,label
280,68.0,12.0,label
281,68.0,12.0,label
282,68.0,12.0,label
283,68.0,12.0,label
284,68.0,12.0,label
285,68.0,12.0,label
286,68.0,12.0,label
287,68.0,12.0,label
288,68.0,12.0,label
289,68.0,12.0,label
290,68.0,12.0,label
291,68.0,12.0,label
292,68.0,12.0,label
293,68.0,12.0,label
294,68.0,12.0,label
295,68.0,12.0,label
296,68.0,12.0,label
297,68.0,12.0,label
298,68.0,12.0,label
299,68.0,12.0,label
300,68.0,12.0,label
301,68.0,12.0,label
302,68.0,12.0,label
303,68.0,12.0,label
304,68.0,12.0,label
305,68.0,12.0,label
306,68.0,12.0,label
307,68.0,12.0,label
308,68.0,12.0,label
309,68.0,12.0,label
310,68.0,12.0,label
311,68.0,12.0,label
312,68.0,12.0,label
313,68.0,12.0,label
314,68.0,12.0,label
315,68.0,12.0,label
316,68.0,12.0,label
317,68.0,12.0,label
318,68.0,12.0,label
319,68.0,12.0,label
320,68.0,12.0,label
321,68.0,12.0,label
322,68.0,12.0,label
323,68.0,12.0,label
324,68.0,12.0,label
325,68.0,12.0,label
326,68.0,12.0,label
327,68.0,12.0,label
328,68.0,12.0,label
329,68.0,12.0,label
330,68.0,12.0,label
331,68.0,12.0,label
332,68.0,12.0,label
333,68.0,12.0,label
334,68.0,12.0,label
335,68.0,12.0,label
336,68.0,12.0,label
337,68.0,12.0,label
338,68.0,12.0,label
339,68.0,12.0,label
340,68.0,12.0,label
341,68.0,12.0,label
342,68.0,12.0,label
343,68.0,12.0,label
344,68.0,12.0,label
345,68.0,12.0,label
346,68.0,12.0,label
347,68.0,12.0,label
348,68.0,12.0,label
349,68.0,12.0,label
350,68.0,12.0,label
351,68.0,12.0,label
352,68.0,12.0,label
353,68.0,12.0,label
354,68.0,12.0,label
355,68.0,12.0,label
356,68.0,12.0,label
357,68.0,12.0,label
358,68.0,12.0,label
359,68.0,12.0,label
360,68.0,12.0,label
361,68.0,12.0,label
362,68.0,12.0,label
363,68.0,12.0,label
364,68.0,12.0,label
365,68.0,12.0,label
366,68.0,12.0,label
367,68.0,12.0,label
368,68.0,12.0,label
369,68.0,12.0,label
370,68.0,12.0,label
371,68.0,12.0,label
372,68.0,12.0,label
373,68.0,12.0,label
374,68.0,12.0,label
375,68.0,12.0,label
376,68.0,12.0,label
377,68.0,12.0,label
378,68.0,12.0,label
379,68.0,12.0,label
380,68.0,12.0,label
381,68.0,12.0,label
382,68.0,12.0,label
383,68.0,12.0,label
384,68.0,12.0,label
385,68.0,12.0,label
386,68.0,12.0,label
387,68.0,12.0,label
388,68.0,12.0,label
389,68.0,12.0,label
390,68.0,12.0,label
391,68.0,12.0,label
392,68.0,12.0,label
393,68.0,12.0,label
394,68.0,12.0,label
395,68.0,12.0,label
396,68.0,12.0,label
397,68.0,12.0,label
398,68.0,12.0,label
399,68.0,12.0,label
400,68.0,12.0,label
401,68.0,12.0,label
402,68.0,12.0,label
403,68.0,12.0,label
404,68.0,12.0,label
405,68.0,12.0,label
406,68.0,12.0,label
407,68.0,12.0,label
408,68.0,12.0,label
409,68.0,12.0,label
410,68.0,12.0,label
411,68.0,12.0,label
412,68.0,12.0,label
413,68.0,12.0,label
414,68.0,12.0,label
415,68.0,12.0,label
416,68.0,12.0,label
417,68.0,12.0,label
418,68.0,12.0,label
419,68.0,12.0,label
420,68.0,12.0,label
421,68.0,12.0,label
422,68.0,12.0,label
423,68.0,12.0,label
424,68.0,12.0,label
425,68.0,12.0,label
426,68.0,12.0,label
427,68.0,12.0,label
428,68.0,12.0,label
429,68.0,12.0,label
430,68.0,12.0,label
431,68.0,12.0,label
432,68.0,12.0,label
433,68.0,12.0,label
434,68.0,12.0,label
435,68.0,12.0,label
436,68.0,12.0,label
437,68.0,12.0,label
438,68.0,12.0,label
439,68.0,12.0,label
440,68.0,12.0,label
441,68.0,12.0,label
442,68.0,12.0,label
443,68.0,12.0,label
444,68.0,12.0,label
445,68.0,12.0,label
446,68.0,12.0,label
447,68.0,12.0,label
448,68.0,12.0,label
449,68.0,12.0,label
450,68.0,12.0,label
451,68.0,12.0,label
452,68.0,12.0,label
453,68.0,12.0,label
454,68.0,12.0,label
455,68.0,12.0,label
456,68.0,12.0,label
457,68.0,12.0,label
458,68.0,12.0,label
459,68.0,12.0,label
460,68.0,12.0,label
461,68.0,12.0,label
462,68.0,12.0,label
463,68.0,12.0,label
464,68.0,12.0,label
465,68.0,12.0,label
466,68.0,12.0,label
467,68.0,12.0,label
468,68.0,12.0,label
469,68.0,12.0,label
470,68.0,12.0,label
471,68.0,12.0,label
472,68.0,12.0,label
473,68.0,12.0,label
474,68.0,12.0,label
475,68.0,12.0,label
476,68.0,12.0,label
477,68.0,12.0,label
478,68.0,12.0,label
479,68.0,12.0,label
480,68.0,12.0,label
481,68.0,12.0,label
482,68.0,12.0,label
483,68.0,12.0,label
484,68.0,12.0,label
485,68.0,12.0,label
486,68.0,12.0,label
487,68.0,12.0,label
488,68.0,12.0,label
489,68.0,12.0,label
490,68.0,12.0,label
491,68.0,12.0,label
492,68.0,12.0,label
493,68.0,12.0,label
494,68.0,12.0,label
495,68.0,12.0,label
496,68.0,12.0,label
497,68.0,12.0,label
498,68.0,12.0,label
499,68.0,12.0,label
500,68.0,12.0,label
501,68.0,12.0,label
502,68.0,12.0,label
503,68.0,12.0,label
504,68.0,12.0,label
505,68.0,12.0,label
506,68.0,12.0,label
507,68.0,12.0,label
508,68.0,12.0,label
509,68.0,12.0,label
510,68.0,12.0,label
511,68.0,12.0,label
512,68.0,12.0,label
513,68.0,12.0,label
514,68.0,12.0,label
515,68.0,12.0,label
516,68.0,12.0,label
517,68.0,12.0,label
518,68.0,12.0,label
519,68.0,12.0,label
520,68.0,12.0,label
521,68.0,12.0,label
522,68.0,12.0,label
523,68.0,12.0,label
524,68.0,12.0,label
525,68.0,12.0,label
526,68.0,12.0,label
527,68.0,12.0,label
528,68.0,12.0,label
529,68.0,12.0,label
530,68.0,12.0,label
531,68.0,12.0,label
532,68.0,12.0,label
533,68.0,12.0,label
534,68.0,12.0,label
535,68.0,12.0,label
536,68.0,12.0,label
537,68.0,12.0,label
538,68.0,12.0,label
539,68.0,12.0,label
540,68.0,12.0,label
541,68.0,12.0,label
542,68.0,12.0,label
543,68.0,12.0,label
544,68.0,12.0,label
545,68.0,12.0,label
546,68.0,12.0,label
547,68.0,12.0,label
548,68.0,12.0,label
549,68.0,12.0,label
550,68.0,12.0,label
551,68.0,12.0,label
552,68.0,12.0,label
553,68.0,12.0,label
554,68.0,12.0,label
555,68.0,12.0,label
556,68.0,12.0,label
557,68.0,12.0,label
558,68.0,12.0,label
559,68.0,12.0,label
560,68.0,12.0,label
561,68.0,12.0,label
562,68.0,12.0,label
563,68.0,12.0,label
564,68.0,12.0,label
565,68.0,12.0,label
566,68.0,12.0,label
567,68.0,12.0,label
568,68.0,12.0,label
569,68.0,12.0,label
570,68.0,12.0,label
571,68.0,12.0,label
572,68.0,12.0,label
573,68.0,12.0,label
574,300.5833333333333,165923.74305555556,label
575,242.5,134623.625,label
576,266.7857142857143,149088.3112244898,label
577,72.5,342.25,label
578,266.7857142857143,149088.3112244898,label
579,72.5,342.25,label
580,266.7857142857143,149088.3112244898,label
581,72.5,342.25,label
582,266.7857142857143,149088.3112244898,label
583,72.5,342.25,label
584,266.7857142857143,149088.3112244898,label
585,72.5,342.25,label
586,266.7857142857143,149088.3112244898,label
587,72.5,342.25,label
588,266.7857142857143,149088.3112244898,label
589,72.5,342.25,label
590,266.7857142857143,149088.3112244898,label
591,72.5,342.25,label
592,266.7857142857143,149088.3112244898,label
593,266.7857142857143,149088.3112244898,label
594,242.5,134623.625,label
595,242.5,134623.625,label
596,266.7857142857143,149088.3112244898,label
597,72.5,342.25,label
598,266.7857142857143,149088.3112244898,label
599,212.73684210526315,118091.7728531856,label
600,72.5,342.25,label
601,266.7857142857143,149088.3112244898,label
602,242.5,134623.625,label
603,266.7857142857143,149088.3112244898,label
604,242.5,134623.625,label
605,242.5,134623.625,label
606,266.7857142857143,149088.3112244898,label
607,242.5,134623.625,label
608,242.5,134623.625,label
609,252.6,141966.37333333335,label
610,72.5,342.25,label
611,266.7857142857143,149088.3112244898,label
612,72.5,342.25,label
613,266.7857142857143,149088.3112244898,label
614,72.5,342.25,label
615,219.5,123783.36111111111,label
616,242.5,134623.625,label
617,72.5,342.25,label
618,266.7857142857143,149088.3112244898,label
619,72.5,342.25,label
620,266.7857142857143,149088.3112244898,label
621,72.5,342.25,label
622,266.7857142857143,149088.3112244898,label
623,251.26666666666668,142467.52888888892,label
624,266.7857142857143,149088.3112244898,label
625,266.7857142857143,149088.3112244898,label
626,266.7857142857143,149088.3112244898,label
627,266.7857142857143,149088.3112244898,label
628,266.7857142857143,149088.3112244898,label
629,242.5,134623.625,label
630,266.7857142857143,149088.3112244898,label
631,266.7857142857143,149088.3112244898,label
632,266.7857142857143,149088.3112244898,label
633,266.7857142857143,149088.3112244898,label
634,266.7857142857143,149088.3112244898,label
635,266.7857142857143,149088.3112244898,label
636,266.7857142857143,149088.3112244898,label
637,266.7857142857143,149088.3112244898,label
638,219.5,123783.36111111111,label
639,266.7857142857143,149088.3112244898,label
640,266.7857142857143,149088.3112244898,label
641,266.7857142857143,149088.3112244898,label
642,266.7857142857143,149088.3112244898,label
643,266.7857142857143,149088.3112244898,label
644,72.5,342.25,label
645,266.7857142857143,149088.3112244898,label
646,240.1875,135404.52734375,label
647,266.7857142857143,149088.3112244898,label
648,242.5,134623.625,label
649,242.5,134623.625,label
650,266.7857142857143,149088.3112244898,label
651,266.7857142857143,149088.3112244898,label
652,266.7857142857143,149088.3112244898,label
653,266.7857142857143,149088.3112244898,label
654,266.7857142857143,149088.3112244898,label
655,266.7857142857143,149088.3112244898,label
656,266.7857142857143,149088.3112244898,label
657,266.7857142857143,149088.3112244898,label
658,266.7857142857143,149088.3112244898,label
659,266.7857142857143,149088.3112244898,label
660,240.1875,135404.52734375,label
661,266.7857142857143,149088.3112244898,label
662,266.7857142857143,149088.3112244898,label
663,72.5,342.25,label
664,266.7857142857143,149088.3112244898,label
665,300.5833333333333,165923.74305555556,label
666,219.5,123783.36111111111,label
667,72.5,342.25,label
668,266.7857142857143,149088.3112244898,label
669,266.7857142857143,149088.3112244898,label
670,72.5,342.25,label
671,266.7857142857143,149088.3112244898,label
672,266.7857142857143,149088.3112244898,label
673,266.7857142857143,149088.3112244898,label
674,72.5,342.25,label
