"No.","data_variance","data_average","class"
675,266.7857142857143,149088.3112244898,label
676,72.5,342.25,label
677,266.7857142857143,149088.3112244898,label
678,72.5,342.25,label
679,219.5,123783.36111111111,label
680,72.5,342.25,label
681,266.7857142857143,149088.3112244898,label
682,72.5,342.25,label
683,266.7857142857143,149088.3112244898,label
684,266.7857142857143,149088.3112244898,label
685,72.5,342.25,label
686,149.88888888888889,32356.987654320987,label
687,266.7857142857143,149088.3112244898,label
688,242.5,134623.625,label
689,242.5,134623.625,label
690,242.5,134623.625,label
691,72.5,342.25,label
692,266.7857142857143,149088.3112244898,label
693,72.5,342.25,label
694,266.7857142857143,149088.3112244898,label
695,242.5,134623.625,label
696,72.5,342.25,label
697,266.7857142857143,149088.3112244898,label
698,255.38095238095238,101010.71201814059,label
699,74.5,420.25,label
700,74.5,420.25,label
701,74.5,420.25,label
702,74.5,420.25,label
703,74.5,420.25,label
704,81.33333333333333,373.5555555555556,label
705,123.77777777777777,10128.83950617284,label
706,74.5,420.25,label
707,74.5,420.25,label
708,74.5,420.25,label
709,78.6,403.44000000000005,label
710,74.5,420.25,label
711,81.33333333333333,373.5555555555556,label
712,64.25,315.1875,label
713,74.5,420.25,label
714,74.5,420.25,label
715,74.5,420.25,label
716,74.5,420.25,label
717,81.33333333333333,373.5555555555556,label
718,64.25,315.1875,label
719,74.5,420.25,label
720,74.5,420.25,label
721,74.5,420.25,label
722,74.5,420.25,label
723,74.5,420.25,label
724,78.6,403.44000000000005,label
725,74.5,420.25,label
726,74.5,420.25,label
727,74.5,420.25,label
728,74.5,420.25,label
729,74.5,420.25,label
730,81.33333333333333,373.5555555555556,label
731,64.25,315.1875,label
732,81.33333333333333,373.5555555555556,label
733,64.25,315.1875,label
734,74.5,420.25,label
735,74.5,420.25,label
736,74.5,420.25,label
737,74.5,420.25,label
738,78.6,403.44,label
739,106.0,4688.5,label
740,74.5,420.25,label
741,74.5,420.25,label
742,74.5,420.25,label
743,74.5,420.25,label
744,74.5,420.25,label
745,78.6,403.44000000000005,label
746,81.33333333333333,373.5555555555556,label
747,64.25,315.1875,label
748,78.6,403.44000000000005,label
749,74.5,420.25,label
750,74.5,420.25,label
751,74.5,420.25,label
752,78.6,403.44000000000005,label
753,78.6,403.44000000000005,label
754,74.5,420.25,label
755,74.5,420.25,label
756,74.5,420.25,label
757,74.5,420.25,label
758,74.5,420.25,label
759,74.5,420.25,label
760,81.33333333333333,373.5555555555556,label
761,64.25,315.1875,label
762,74.5,420.25,label
763,74.5,420.25,label
764,74.5,420.25,label
765,70.4,403.44000000000005,label
766,74.5,420.25,label
767,74.5,420.25,label
768,72.0,336.5,label
769,246.4090909090909,98410.24173553716,label
770,74.5,420.25,label
771,74.5,420.25,label
772,128.22222222222223,9607.950617283952,label
773,74.5,420.25,label
774,74.5,420.25,label
775,83.28571428571429,343.06122448979596,label
776,64.25,315.1875,label
777,74.5,420.25,label
778,74.5,420.25,label
779,74.5,420.25,label
780,74.5,420.25,label
781,74.5,420.25,label
782,78.6,403.44000000000005,label
783,81.33333333333333,373.5555555555556,label
784,70.4,403.44000000000005,label
785,106.25,4746.1875,label
786,78.6,403.44000000000005,label
787,74.5,420.25,label
788,74.5,420.25,label
789,74.5,420.25,label
790,74.5,420.25,label
791,81.33333333333333,373.5555555555556,label
792,64.25,315.1875,label
793,74.5,420.25,label
794,74.5,420.25,label
795,74.5,420.25,label
796,78.6,403.44000000000005,label
797,78.6,403.44000000000005,label
798,78.6,403.44000000000005,label
799,74.5,420.25,label
800,74.5,420.25,label
801,78.6,403.44000000000005,label
802,81.33333333333333,373.5555555555556,label
803,64.25,315.1875,label
804,74.5,420.25,label
805,74.5,420.25,label
806,74.5,420.25,label
807,74.5,420.25,label
808,78.6,403.44000000000005,label
809,74.5,420.25,label
810,81.33333333333333,373.5555555555556,label
811,64.25,315.1875,label
812,83.28571428571429,343.06122448979596,label
813,64.25,315.1875,label
814,78.6,403.44000000000005,label
815,78.6,403.44000000000005,label
816,74.5,420.25,label
817,74.5,420.25,label
818,74.5,420.25,label
819,74.5,420.25,label
820,74.5,420.25,label
821,81.33333333333333,373.5555555555556,label
822,64.25,315.1875,label
823,74.5,420.25,label
824,74.5,420.25,label
825,74.5,420.25,label
826,81.33333333333333,373.5555555555556,label
827,64.25,315.1875,label
828,78.6,403.44000000000005,label
829,74.5,420.25,label
830,78.6,403.44000000000005,label
831,81.33333333333333,373.5555555555556,label
832,62.2,268.96,label
833,81.33333333333333,373.5555555555556,label
834,64.25,315.1875,label
835,74.5,420.25,label
836,74.5,420.25,label
837,81.33333333333333,373.5555555555556,label
838,70.4,403.44000000000005,label
839,74.5,420.25,label
840,81.33333333333333,373.5555555555556,label
841,64.25,315.1875,label
842,206.6206896551724,79842.30439952436,label
843,74.5,420.25,label
844,78.6,403.44,label
845,102.2,3405.3599999999997,label
846,74.5,420.25,label
847,74.5,420.25,label
848,81.33333333333333,373.5555555555556,label
849,64.25,315.1875,label
850,74.5,420.25,label
851,74.5,420.25,label
852,127.44444444444444,8575.358024691357,label
853,81.33333333333333,373.5555555555556,label
854,64.25,315.1875,label
855,81.33333333333333,373.5555555555556,label
856,64.25,315.1875,label
857,74.5,420.25,label
858,74.5,420.25,label
859,74.5,420.25,label
860,81.33333333333333,373.5555555555556,label
861,64.25,315.1875,label
862,74.5,420.25,label
863,74.5,420.25,label
864,78.6,403.44000000000005,label
865,78.6,403.44000000000005,label
866,74.5,420.25,label
867,74.5,420.25,label
868,74.5,420.25,label
869,74.5,420.25,label
870,74.5,420.25,label
871,74.5,420.25,label
872,74.5,420.25,label
873,74.5,420.25,label
874,74.5,420.25,label
875,74.5,420.25,label
876,74.5,420.25,label
877,74.5,420.25,label
878,74.5,420.25,label
879,74.5,420.25,label
880,74.5,420.25,label
881,81.33333333333333,373.5555555555556,label
882,64.25,315.1875,label
883,74.5,420.25,label
884,81.33333333333333,373.5555555555556,label
885,64.25,315.1875,label
886,78.6,403.44000000000005,label
887,74.5,420.25,label
888,81.33333333333333,373.5555555555556,label
889,64.25,315.1875,label
890,74.5,420.25,label
891,74.5,420.25,label
892,74.5,420.25,label
893,78.6,403.44000000000005,label
894,74.5,420.25,label
895,81.33333333333333,373.5555555555556,label
896,64.25,315.1875,label
897,74.5,420.25,label
898,78.6,403.44000000000005,label
899,74.5,420.25,label
900,74.5,420.25,label
901,78.6,403.44000000000005,label
902,74.5,420.25,label
903,74.5,420.25,label
904,78.6,403.44,label
905,104.75,4405.6875,label
906,74.5,420.25,label
907,78.6,403.44000000000005,label
908,74.5,420.25,label
909,83.28571428571429,343.06122448979596,label
910,64.25,315.1875,label
911,74.5,420.25,label
912,70.4,403.44000000000005,label
913,74.5,420.25,label
914,74.5,420.25,label
915,74.5,420.25,label
916,210.67857142857142,82236.43239795919,label
917,74.5,420.25,label
918,128.22222222222223,8870.617283950618,label
919,74.5,420.25,label
920,78.6,403.44000000000005,label
921,74.5,420.25,label
922,78.6,403.44000000000005,label
923,74.5,420.25,label
924,74.5,420.25,label
925,74.5,420.25,label
926,74.5,420.25,label
927,74.5,420.25,label
928,74.5,420.25,label
929,74.5,420.25,label
930,78.6,403.44000000000005,label
931,74.5,420.25,label
932,74.5,420.25,label
933,74.5,420.25,label
934,74.5,420.25,label
935,81.33333333333333,373.5555555555556,label
936,64.25,315.1875,label
937,78.6,403.44000000000005,label
938,74.5,420.25,label
939,81.33333333333333,373.5555555555556,label
940,64.25,315.1875,label
941,78.6,403.44000000000005,label
942,78.6,403.44000000000005,label
943,74.5,420.25,label
944,74.5,420.25,label
945,74.5,420.25,label
946,74.5,420.25,label
947,74.5,420.25,label
948,74.5,420.25,label
949,74.5,420.25,label
950,74.5,420.25,label
951,74.5,420.25,label
952,74.5,420.25,label
953,74.5,420.25,label
954,74.5,420.25,label
955,74.5,420.25,label
956,78.6,403.44000000000005,label
957,74.5,420.25,label
958,74.5,420.25,label
959,74.5,420.25,label
960,78.6,403.44000000000005,label
961,74.5,420.25,label
962,74.5,420.25,label
963,74.5,420.25,label
964,78.6,403.44,label
965,104.2,3864.56,label
966,74.5,420.25,label
967,74.5,420.25,label
968,74.5,420.25,label
969,74.5,420.25,label
970,74.5,420.25,label
971,74.5,420.25,label
972,74.5,420.25,label
973,74.5,420.25,label
974,74.5,420.25,label
975,81.33333333333333,373.5555555555556,label
976,64.25,315.1875,label
977,78.6,403.44000000000005,label
978,70.4,403.44000000000005,label
979,81.33333333333333,373.5555555555556,label
980,64.25,315.1875,label
981,74.5,420.25,label
982,222.03846153846155,86490.34467455621,label
983,74.5,420.25,label
984,74.5,420.25,label
985,74.5,420.25,label
986,78.6,403.44000000000005,label
987,74.5,420.25,label
988,74.5,420.25,label
989,74.5,420.25,label
990,81.33333333333333,373.5555555555556,label
991,123.55555555555556,9289.802469135804,label
992,74.5,420.25,label
993,78.6,403.44000000000005,label
994,74.5,420.25,label
995,74.5,420.25,label
996,81.33333333333333,373.5555555555556,label
997,64.25,315.1875,label
998,74.5,420.25,label
999,74.5,420.25,label
1000,74.5,420.25,label
1001,83.28571428571429,343.06122448979596,label
1002,64.25,315.1875,label
1003,78.6,403.44000000000005,label
1004,74.5,420.25,label
1005,81.33333333333333,373.5555555555556,label
1006,64.25,315.1875,label
1007,78.6,403.44000000000005,label
1008,83.28571428571429,343.06122448979596,label
1009,64.25,315.1875,label
1010,74.5,420.25,label
1011,74.5,420.25,label
1012,74.5,420.25,label
1013,81.33333333333333,373.5555555555556,label
1014,64.25,315.1875,label
1015,83.28571428571429,343.06122448979596,label
1016,64.25,315.1875,label
1017,74.5,420.25,label
1018,74.5,420.25,label
1019,81.33333333333333,373.5555555555556,label
1020,64.25,315.1875,label
1021,74.5,420.25,label
1022,74.5,420.25,label
1023,78.6,403.44000000000005,label
1024,77.42857142857143,411.6734693877552,label
1025,106.0,4688.5,label
1026,74.5,420.25,label
1027,74.5,420.25,label
1028,74.5,420.25,label
1029,74.5,420.25,label
1030,74.5,420.25,label
1031,78.6,403.44000000000005,label
1032,74.5,420.25,label
1033,74.5,420.25,label
1034,74.5,420.25,label
1035,74.5,420.25,label
1036,78.6,403.44000000000005,label
1037,74.5,420.25,label
1038,74.5,420.25,label
1039,74.5,420.25,label
1040,74.5,420.25,label
1041,74.5,420.25,label
1042,74.5,420.25,label
1043,74.5,420.25,label
1044,74.5,420.25,label
1045,74.5,420.25,label
1046,74.5,420.25,label
1047,74.5,420.25,label
1048,74.5,420.25,label
1049,81.33333333333333,373.5555555555556,label
1050,64.25,315.1875,label
1051,70.4,403.44000000000005,label
1052,74.5,420.25,label
1053,74.5,420.25,label
1054,74.5,420.25,label
1055,74.5,420.25,label
1056,74.5,420.25,label
1057,74.5,420.25,label
1058,72.83333333333333,365.8055555555556,label
1059,228.8,89396.48,label
1060,74.5,420.25,label
1061,74.5,420.25,label
1062,74.5,420.25,label
1063,74.5,420.25,label
1064,103.14285714285714,4388.693877551021,label
1065,121.5,9538.25,label
1066,74.5,420.25,label
1067,74.5,420.25,label
1068,74.5,420.25,label
1069,74.5,420.25,label
1070,74.5,420.25,label
1071,74.5,420.25,label
1072,74.5,420.25,label
1073,74.5,420.25,label
1074,78.6,403.44000000000005,label
1075,74.5,420.25,label
1076,74.5,420.25,label
1077,74.5,420.25,label
1078,74.5,420.25,label
1079,74.5,420.25,label
1080,78.6,403.44000000000005,label
1081,74.5,420.25,label
1082,74.5,420.25,label
1083,74.5,420.25,label
1084,74.5,420.25,label
1085,74.5,420.25,label
1086,74.5,420.25,label
1087,74.5,420.25,label
1088,74.5,420.25,label
1089,74.5,420.25,label
1090,74.5,420.25,label
1091,74.5,420.25,label
1092,74.5,420.25,label
1093,74.5,420.25,label
1094,74.5,420.25,label
1095,74.5,420.25,label
1096,74.5,420.25,label
1097,74.5,420.25,label
1098,74.5,420.25,label
1099,74.5,420.25,label
1100,74.5,420.25,label
1101,74.5,420.25,label
1102,74.5,420.25,label
1103,74.5,420.25,label
1104,74.5,420.25,label
1105,78.6,403.44000000000005,label
1106,78.6,403.44000000000005,label
1107,74.5,420.25,label
1108,74.5,420.25,label
1109,74.5,420.25,label
1110,74.5,420.25,label
1111,74.5,420.25,label
1112,74.5,420.25,label
1113,74.5,420.25,label
1114,74.5,420.25,label
1115,74.5,420.25,label
1116,78.6,403.44000000000005,label
1117,70.4,403.44,label
1118,116.25,3937.6875,label
1119,74.5,420.25,label
1120,74.5,420.25,label
1121,74.5,420.25,label
1122,74.5,420.25,label
1123,74.5,420.25,label
1124,67.66666666666667,373.5555555555556,label
1125,74.5,420.25,label
1126,74.5,420.25,label
1127,74.5,420.25,label
1128,74.5,420.25,label
1129,74.5,420.25,label
1130,74.5,420.25,label
1131,74.5,420.25,label
1132,251.22727272727272,97054.90289256196,label
1133,74.5,420.25,label
1134,74.5,420.25,label
1135,74.5,420.25,label
1136,77.42857142857143,411.6734693877552,label
1137,74.5,420.25,label
1138,74.5,420.25,label
1139,74.5,420.25,label
1140,74.5,420.25,label
1141,74.5,420.25,label
1142,74.5,420.25,label
1143,74.5,420.25,label
1144,74.5,420.25,label
1145,103.14285714285714,4388.693877551021,label
1146,121.16666666666667,9395.805555555553,label
1147,74.5,420.25,label
1148,74.5,420.25,label
1149,74.5,420.25,label
1150,74.5,420.25,label
1151,74.5,420.25,label
1152,74.5,420.25,label
1153,74.5,420.25,label
1154,74.5,420.25,label
1155,74.5,420.25,label
1156,74.5,420.25,label
1157,74.5,420.25,label
1158,74.5,420.25,label
1159,77.42857142857143,411.6734693877552,label
1160,74.5,420.25,label
1161,78.6,403.44000000000005,label
1162,74.5,420.25,label
1163,116.5,3990.25,label
1164,78.6,403.44000000000005,label
1165,78.6,403.44000000000005,label
1166,78.6,403.44000000000005,label
1167,74.5,420.25,label
1168,74.5,420.25,label
1169,74.5,420.25,label
1170,74.5,420.25,label
1171,74.5,420.25,label
1172,78.6,403.44000000000005,label
1173,74.5,420.25,label
1174,74.5,420.25,label
1175,74.5,420.25,label
1176,74.5,420.25,label
1177,74.5,420.25,label
1178,74.5,420.25,label
1179,74.5,420.25,label
1180,78.6,403.44000000000005,label
1181,74.5,420.25,label
1182,74.5,420.25,label
1183,74.5,420.25,label
1184,74.5,420.25,label
1185,74.5,420.25,label
1186,74.5,420.25,label
1187,74.5,420.25,label
1188,74.5,420.25,label
1189,77.42857142857143,411.6734693877552,label
1190,74.5,420.25,label
1191,74.5,420.25,label
1192,74.5,420.25,label
1193,74.5,420.25,label
1194,74.5,420.25,label
1195,74.5,420.25,label
1196,74.5,420.25,label
1197,74.5,420.25,label
1198,74.5,420.25,label
1199,74.5,420.25,label
1200,77.42857142857143,411.6734693877552,label
1201,74.5,420.25,label
1202,74.5,420.25,label
1203,74.5,420.25,label
1204,74.5,420.25,label
1205,67.66666666666667,373.5555555555556,label
1206,74.5,420.25,label
1207,74.5,420.25,label
1208,184.5151515151515,73363.09825528009,label
1209,74.5,420.25,label
1210,74.5,420.25,label
1211,74.5,420.25,label
1212,74.5,420.25,label
1213,74.5,420.25,label
1214,74.5,420.25,label
1215,74.5,420.25,label
1216,74.5,420.25,label
1217,74.5,420.25,label
1218,128.11111111111111,8822.0987654321,label
1219,74.5,420.25,label
1220,81.33333333333333,373.5555555555556,label
1221,64.25,315.1875,label
1222,78.6,403.44,label
1223,106.75,4862.6875,label
1224,74.5,420.25,label
1225,74.5,420.25,label
1226,74.5,420.25,label
1227,74.5,420.25,label
1228,74.5,420.25,label
1229,74.5,420.25,label
1230,74.5,420.25,label
1231,74.5,420.25,label
1232,74.5,420.25,label
1233,74.5,420.25,label
1234,81.33333333333333,373.5555555555556,label
1235,64.25,315.1875,label
1236,74.5,420.25,label
1237,81.33333333333333,373.5555555555556,label
1238,64.25,315.1875,label
1239,74.5,420.25,label
1240,81.33333333333333,373.5555555555556,label
1241,64.25,315.1875,label
1242,74.5,420.25,label
1243,74.5,420.25,label
1244,74.5,420.25,label
1245,74.5,420.25,label
1246,74.5,420.25,label
1247,74.5,420.25,label
1248,74.5,420.25,label
1249,81.33333333333333,373.5555555555556,label
1250,64.25,315.1875,label
1251,74.5,420.25,label
1252,74.5,420.25,label
1253,74.5,420.25,label
1254,74.5,420.25,label
1255,83.28571428571429,343.06122448979596,label
1256,64.25,315.1875,label
1257,74.5,420.25,label
1258,78.6,403.44000000000005,label
1259,81.33333333333333,373.5555555555556,label
1260,70.4,403.44000000000005,label
1261,74.5,420.25,label
1262,83.28571428571429,343.06122448979596,label
1263,70.4,403.44000000000005,label
1264,83.28571428571429,343.06122448979596,label
1265,64.25,315.1875,label
1266,74.5,420.25,label
1267,81.33333333333333,373.5555555555556,label
1268,64.25,315.1875,label
1269,83.28571428571429,343.06122448979596,label
1270,64.25,315.1875,label
1271,74.5,420.25,label
1272,74.5,420.25,label
1273,74.5,420.25,label
1274,74.5,420.25,label
1275,74.5,420.25,label
1276,83.28571428571429,343.06122448979596,label
1277,64.25,315.1875,label
1278,70.4,403.44000000000005,label
1279,81.33333333333333,373.5555555555556,label
1280,64.25,315.1875,label
1281,74.5,420.25,label
1282,78.6,403.44,label
1283,82.22222222222223,981.7283950617283,label
1284,196.78125,74105.0458984375,label
1285,134.0,13480.5,label
1286,74.5,420.25,label
1287,74.5,420.25,label
1288,74.5,420.25,label
1289,74.5,420.25,label
1290,74.5,420.25,label
1291,74.5,420.25,label
1292,74.5,420.25,label
1293,74.5,420.25,label
1294,74.5,420.25,label
1295,81.33333333333333,373.5555555555556,label
1296,64.25,315.1875,label
1297,74.5,420.25,label
1298,74.5,420.25,label
1299,74.5,420.25,label
1300,74.5,420.25,label
1301,74.5,420.25,label
1302,74.5,420.25,label
1303,74.5,420.25,label
1304,74.5,420.25,label
